BN,FPE,Form ID,200,210,220,230,240,250,260
137152815RR0001,2021-03-31,25,27028,N,N,,N,Y,N
119132090RR0001,2021-03-31,25,250000,N,N,,Y,N,N
108102831RR0001,2021-03-31,25,,N,Y,126000,Y,N,N
129716866RR0001,2021-03-31,25,17138739,Y,Y,15999426,Y,N,N
892482712RR0001,2021-03-31,23,28456,Y,N,,Y,N,N
814293791RR0001,2021-05-31,23,6000,Y,N,,N,N,N
107790255RR0001,2021-08-31,25,8058,Y,N,,N,N,N
827120908RR0001,2021-03-31,25,42348,Y,N,,N,N,N
107690273RR0001,2021-03-31,25,692014,Y,N,,Y,N,N
118871516RR0001,2021-06-30,25,57442514,Y,N,,Y,Y,N
857237002RR0001,2021-03-31,25,,Y,N,,N,N,N
712161884RR0001,2021-03-31,25,5000,Y,N,,N,N,N
137802039RR0001,2021-03-31,25,246854,N,N,,N,Y,N
890693377RR0001,2021-03-31,25,,Y,N,,N,Y,N
864435573RR0001,2021-03-31,25,20000,Y,N,,N,N,N
106844053RR0001,2021-03-31,25,547712,Y,Y,547712,N,N,N
895530954RR0001,2021-03-31,25,3286100,Y,N,,N,N,N
817268535RR0001,2021-03-31,25,196513,Y,N,,Y,Y,N
103066064RR0001,2021-06-30,25,680057,Y,N,,N,Y,N
118846914RR0001,2021-03-31,25,,N,N,,N,Y,N
108162025RR0001,2021-04-30,25,62621,Y,N,,Y,N,N
858388366RR0001,2021-06-30,25,55609,N,N,,N,N,N
118833292RR0001,2021-03-31,23,1499554,Y,Y,3870020,Y,N,N
119133627RR0001,2021-03-31,25,91362,Y,N,,N,Y,N
880779699RR0001,2021-03-31,25,8000,N,N,,N,N,N
886822212RR0001,2021-03-31,25,67341,Y,N,,N,N,N
894945633RR0072,2021-03-31,24,5879,N,N,,Y,Y,N
887339901RR0001,2021-04-30,24,38356,Y,N,,N,Y,N
118834878RR0001,2021-03-31,25,3844723,Y,Y,3379864,Y,N,N
846283208RR0001,2021-06-30,25,370278,N,N,,N,N,N
839440880RR0001,2021-03-31,25,295964,Y,N,,N,N,N
839649001RR0001,2021-03-31,25,167755,Y,N,,N,N,N
892502725RR0001,2021-06-30,25,9502,Y,N,,N,Y,N
884054404RR0001,2021-03-31,25,82824,N,N,,N,Y,N
858535941RR0001,2021-03-31,25,2779,N,N,,Y,N,N
