BN,FPE,Form ID,100,110,120,130
888182334RR0001,2021-03-31,25,,,,
119159820RR0001,2021-03-20,25,N,N,N,N
823603196RR0001,2021-01-31,25,,,,
107780678RR0001,2021-03-31,25,,,,
850250341RR0001,2021-05-31,25,,,,
107861270RR0001,2021-03-31,25,,,,
138506225RR0001,2021-01-15,25,,,,
812536456RR0001,2021-04-24,25,,,,
805895000RR0001,2021-03-31,25,N,N,N,N
118945781RR0001,2021-03-31,24,,,,
119238830RR0001,2021-01-31,25,N,N,N,N
852715689RR0001,2021-02-28,24,,,,
892411166RR0001,2021-03-31,25,,,,
119242220RR0001,2021-04-30,25,,,,
118828896RR0001,2021-03-31,25,,,,
140669581RR0001,2021-03-31,25,,,,
118865955RR0001,2021-03-31,25,,,,
889391793RR0001,2021-02-28,25,N,N,N,N
100301894RR0001,2021-03-31,25,,,,
890702798RR0001,2021-03-31,25,,,,
122095102RR0001,2021-04-30,25,,,,
119007524RR0001,2021-03-31,25,N,N,,
802403048RR0001,2021-04-30,25,,,,
132948852RR0001,2021-01-31,24,N,N,N,N
139632061RR0001,2021-03-31,25,,,,
815378997RR0001,2021-02-28,25,,,,
119015329RR0001,2021-03-31,25,,,,
896688983RR0001,2021-03-31,25,,,,
892673484RR0001,2021-03-31,24,,,,
106926694RR0001,2021-04-30,25,,,,
118797273RR0001,2021-01-31,25,,,,
119278224RR0001,2021-03-31,25,N,N,,
134127042RR0001,2021-04-30,23,,,,
118975051RR0001,2021-03-31,25,,,,
129904579RR0001,2021-03-31,25,,,,
892266032RR0001,2021-03-31,25,,,,
868571068RR0001,2021-03-31,25,,,,
843513136RR0001,2021-03-31,25,,,,
119244846RR0001,2021-03-31,25,,,,
119263317RR0001,2021-05-31,25,,,,
126561232RR0001,2021-03-31,25,,,,
107398927RR0001,2021-03-31,25,,,,
885506121RR0001,2021-03-31,25,,,,
106963846RR0001,2021-03-31,25,,,,
891950305RR0001,2021-03-31,25,,,,
131395527RR0001,2021-03-31,25,,,,
107689762RR0001,2021-03-31,23,,,,
763617297RR0001,2021-01-31,25,,,,
119294122RR0001,2021-03-31,25,,,,
887320638RR0001,2021-03-31,25,,,,
848764684RR0001,2021-03-31,25,,,,
888930591RR0001,2021-03-31,25,,,,
867050890RR0001,2021-05-31,25,,,,
130522832RR0001,2021-03-31,25,,,,
892302779RR0001,2021-01-31,25,,,,
743583734RR0001,2021-02-28,25,,,,
858884307RR0001,2021-03-31,25,,,,
868613894RR0001,2021-03-31,25,,,,
891229148RR0001,2021-01-01,25,,,,
822415477RR0001,2021-03-31,25,,,,
118778570RR0001,2021-02-28,23,N,N,N,N
867183691RR0001,2021-01-31,25,,,,
